,package_name,editor,eic,date_opened,date_closed,labels,issue_num,description,categories,status,last_comment_date,last_comment_user
0,,,,2019-05-03 15:51:04+00:00,2019-08-19 19:26:55+00:00,"['presubmission', '⌛ pending-maintainer-response']",2,,['data-retrieval'],presubmission,2019-08-19T19:26:55Z,lwasser
1,Litrepl,,coatless,2024-12-18 16:46:52+00:00,,"['presubmission', 'currently-out-of-scope']",226,A tool for code snippet evaluation in Markdown/LaTeX documents.,['workflow-automation'],presubmission,2025-02-05T08:00:21Z,coatless
2,VARGRAM,,coatless,2024-12-18 01:05:06+00:00,,"['presubmission', '⌛ pending-maintainer-response']",225,A Python visualization tool for genomic surveillance,"['data-processing-munging', 'data-visualization']",presubmission,2025-02-06T09:22:06Z,cjpalpallatoc
3,c4dynamics,,coatless,2024-12-16 16:46:05+00:00,,"['presubmission', '⌛ pending-maintainer-response']",224,Python framework for algorithms of dynamic systems,['data-processing-munging'],presubmission,2025-02-25T05:12:31Z,C4dynamics
4,PIVA,,SimonMolinsky,2024-12-16 11:48:03+00:00,2025-01-07 08:09:58+00:00,['presubmission'],223,Visualization and analysis toolkit for experimental data from Angle-Resolved Photoemission Spectroscopy (ARPES),"['data-extraction', 'data-visualization']",presubmission,2025-01-04T12:35:09Z,pudeIko
5,pymultifit,,SimonMolinsky,2024-12-14 09:17:43+00:00,2025-01-21 09:36:55+00:00,['presubmission'],221,A python library for fitting data with multiple models.,['data-processing-munging'],presubmission,2025-01-20T06:43:05Z,SimonMolinsky
6,tda-mapper,,SimonMolinsky,2024-11-24 21:03:10+00:00,2024-12-19 08:17:49+00:00,['presubmission'],219,A Python library based on the Mapper algorithm for Topological Data Analysis.,"['data-processing-munging', 'data-visualization']",presubmission,2024-12-01T09:10:18Z,SimonMolinsky
7,podcastfy,,SimonMolinsky,2024-11-15 15:25:03+00:00,2024-12-13 11:33:01+00:00,['presubmission'],217,Transforming Multimodal Content into Captivating Multilingual Audio Conversations with GenAI,"['data-extraction', 'data-processing-munging']",presubmission,2024-12-13T11:36:25Z,souzatharsis
8,GALFITools,,TBD,2024-10-31 23:16:26+00:00,2024-11-20 21:19:26+00:00,['presubmission'],216,A library for efficient data processing customized for the GALFIT package,"['data-extraction', 'data-processing/munging', 'data-visualization']",presubmission,2024-11-15T22:44:23Z,canorve
9,FElupe,,TBD,2024-09-03 08:16:35+00:00,2024-09-15 19:32:40+00:00,['presubmission'],211,Finite element analysis for continuum mechanics of solid bodies.,"['data-retrieval', 'data-extraction', 'data-processing-munging', 'data-visualization']",presubmission,2024-09-08T19:44:04Z,adtzlr
10,Solar Data Tools,,cmarmo,2024-06-28 23:12:55+00:00,2024-08-19 20:43:06+00:00,['presubmission'],204,Library of tools for analyzing photovoltaic power time-series data.,"['data-retrieval', 'data-extraction', 'data-processing-munging', 'data-visualization']",presubmission,2024-07-03T21:29:13Z,pluflou
11,MontePy,,TBD,2024-06-17 18:07:13+00:00,2024-07-01 21:19:03+00:00,['presubmission'],203,"A python library for reading, editing, and writing MCNP input files.",['workflow-automation'],presubmission,2024-07-01T20:42:34Z,MicahGale
12,Stingray,,,2024-06-01 19:58:40+00:00,2024-06-22 08:12:21+00:00,['presubmission'],195,A spectral-timing software package for astrophysical X-ray (and other) data,"['data-processing-munging', 'data-validation-testing']",presubmission,2024-06-22T08:12:21Z,Batalex
13,gentropy,,,2024-05-24 14:41:14+00:00,2024-09-30 16:38:12+00:00,['presubmission'],190,Open Targets python framework for post-GWAS analysis,"['data-retrieval', 'data-extraction', 'data-processing-munging', 'scientific-software-wrapper']",presubmission,2024-09-30T16:38:12Z,cmarmo
14,GALAssify,,,2024-05-24 10:37:47+00:00,2024-09-30 09:25:07+00:00,['presubmission'],189,A Python package for visually classifying astronomical objects,"['data-validation-testing', 'data-visualization']",presubmission,2024-09-30T09:25:07Z,cmarmo
