event,author,title,type,repository,organization,state,number,created,closed,url,api_url
pyconus-24,zackw,"[UX] Decision step on distributing package: Separate ""should my code be a package"" from ""should my code be on PyPI and conda-forge""",Issue,python-package-guide,pyOpenSci,open,273,2024-05-20T19:22:21Z,,https://github.com/pyOpenSci/python-package-guide/issues/273,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/273
pyconus-24,zackw,[UX] Explain that creating a Python package is useful even if you will never upload it to PyPI,Issue,python-package-guide,pyOpenSci,open,272,2024-05-20T19:21:44Z,,https://github.com/pyOpenSci/python-package-guide/issues/272,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/272
pyconus-24,zackw,“How does this relate to code for a research project?” deserves to be more than a sidebar,Issue,python-package-guide,pyOpenSci,open,275,2024-05-20T19:26:13Z,,https://github.com/pyOpenSci/python-package-guide/issues/275,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/275
pyconus-24,zackw,List bare minimum requirements to create a package on the intro page,Issue,python-package-guide,pyOpenSci,open,276,2024-05-20T19:28:17Z,,https://github.com/pyOpenSci/python-package-guide/issues/276,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/276
pyconus-24,zackw,[UX] Improve confusing split navigation,Issue,python-package-guide,pyOpenSci,open,267,2024-05-20T18:53:45Z,,https://github.com/pyOpenSci/python-package-guide/issues/267,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/267
pyconus-24,pb-413,"Typo - Initial version code recommended is inconsistent (Major and Minor versus Major, Minor, and Patch?) - installable-code.md",Issue,python-package-guide,pyOpenSci,open,257,2024-05-20T15:18:27Z,,https://github.com/pyOpenSci/python-package-guide/issues/257,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/257
pyconus-24,zackw,"[UX] Need ""step 0: get Python and Hatch"" on https://www.pyopensci.org/python-package-guide/tutorials/get-to-know-hatch.html",Issue,python-package-guide,pyOpenSci,closed,270,2024-05-20T19:14:33Z,2024-07-11T00:55:25Z,https://github.com/pyOpenSci/python-package-guide/issues/270,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/270
pyconus-24,zackw,[UX] Review navigation: Can't get to packaging guide from https://www.pyopensci.org/python-packaging-science.html,Issue,pyopensci.github.io,pyOpenSci,open,441,2024-05-20T18:55:48Z,,https://github.com/pyOpenSci/pyopensci.github.io/issues/441,https://api.github.com/repos/pyOpenSci/pyopensci.github.io/issues/441
pyconus-24,pb-413,Unique package name - Corrective action steps,PullRequest,python-package-guide,pyOpenSci,closed,280,2024-05-21T19:04:46Z,2024-05-31T00:39:44Z,https://github.com/pyOpenSci/python-package-guide/pull/280,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/280
pyconus-24,Vaunty,Windows Instruction for PipX,PullRequest,python-package-guide,pyOpenSci,closed,278,2024-05-20T21:01:40Z,2024-07-12T22:26:17Z,https://github.com/pyOpenSci/python-package-guide/pull/278,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/278
pyconus-24,pb-413,update version from 0.1.0 to 0.1,PullRequest,python-package-guide,pyOpenSci,closed,262,2024-05-20T18:01:05Z,2024-05-20T19:31:31Z,https://github.com/pyOpenSci/python-package-guide/pull/262,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/262
pyconus-24,flpm,Setup Vale (prose linter) with a minimal unobtrusive configuration,PullRequest,python-package-guide,pyOpenSci,closed,281,2024-05-23T17:31:23Z,2024-06-04T22:39:57Z,https://github.com/pyOpenSci/python-package-guide/pull/281,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/281
pyconus-24,ucodery,Add: hatch plus meson-python python package example to guidebook,PullRequest,python-package-guide,pyOpenSci,closed,274,2024-05-20T19:25:06Z,2024-05-31T20:14:24Z,https://github.com/pyOpenSci/python-package-guide/pull/274,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/274
pyconus-24,chenghlee,"Replace usage of ""Anaconda Cloud"" in various contexts",PullRequest,python-package-guide,pyOpenSci,closed,269,2024-05-20T19:02:28Z,2024-05-31T00:29:42Z,https://github.com/pyOpenSci/python-package-guide/pull/269,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/269
pyconus-24,ucodery,use literalinclude in code-style-linting-format,PullRequest,python-package-guide,pyOpenSci,closed,259,2024-05-20T15:50:31Z,2024-05-31T19:14:07Z,https://github.com/pyOpenSci/python-package-guide/pull/259,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/259
pyconus-24,BSuperbad,Fixing Table of Contents/ Nav,PullRequest,python-package-guide,pyOpenSci,closed,266,2024-05-20T18:25:20Z,2024-05-31T00:12:56Z,https://github.com/pyOpenSci/python-package-guide/pull/266,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/266
pyconus-24,sosey,Add command line example for finding hatch config file location,PullRequest,python-package-guide,pyOpenSci,closed,256,2024-05-20T15:09:42Z,2024-05-30T23:55:37Z,https://github.com/pyOpenSci/python-package-guide/pull/256,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/256
pyconus-24,sosey,Update github actions versions to current,PullRequest,python-package-guide,pyOpenSci,closed,277,2024-05-20T20:32:01Z,2024-05-31T00:32:30Z,https://github.com/pyOpenSci/python-package-guide/pull/277,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/277
pyconus-24,sosey,Add command line example for finding hatch config file location,Issue,python-package-guide,pyOpenSci,closed,255,2024-05-20T15:07:15Z,2024-06-07T18:37:30Z,https://github.com/pyOpenSci/python-package-guide/issues/255,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/255
pyconus-24,BSuperbad,pipx --global Installation Issue,Issue,python-package-guide,pyOpenSci,closed,260,2024-05-20T15:50:44Z,2024-09-19T19:38:02Z,https://github.com/pyOpenSci/python-package-guide/issues/260,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/260
pyconus-24,pb-413,"Reference Virtual Environments Documentation, Internal or External",Issue,python-package-guide,pyOpenSci,open,258,2024-05-20T15:28:16Z,,https://github.com/pyOpenSci/python-package-guide/issues/258,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/258
pyconus-24,pb-413,Consider linking to information about environmnets/venv - get-to-know-hatch.md,Issue,python-package-guide,pyOpenSci,open,254,2024-05-20T14:42:36Z,,https://github.com/pyOpenSci/python-package-guide/issues/254,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/254
pyconus-24,BSuperbad,Potential Addition to Step 5: Activating Environment - More Info ,Issue,python-package-guide,pyOpenSci,open,263,2024-05-20T18:01:30Z,,https://github.com/pyOpenSci/python-package-guide/issues/263,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/263
pyconus-24,sn3hay,[UX] Clarification: hatch --version throws error on Windows OS,Issue,python-package-guide,pyOpenSci,open,271,2024-05-20T18:37:18Z,,https://github.com/pyOpenSci/python-package-guide/issues/271,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/271
pyconus-24,sn3hay,[UX] Clarification: 'pipx' command not found - Installation required in Windows OS,Issue,python-package-guide,pyOpenSci,closed,265,2024-05-20T18:09:42Z,2024-09-19T19:40:14Z,https://github.com/pyOpenSci/python-package-guide/issues/265,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/265
pyconus-24,pb-413,TODO - How to update your package name / prevent name overlap by adding your github to the package name,Issue,python-package-guide,pyOpenSci,open,261,2024-05-20T16:21:12Z,,https://github.com/pyOpenSci/python-package-guide/issues/261,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/261
pyconus-24,BSuperbad,"Section Navigation: Move ""Using Hatch to Migrate setup.py to a pyproject.toml"" to a different part of the nav",Issue,python-package-guide,pyOpenSci,closed,264,2024-05-20T18:06:29Z,2024-06-06T23:54:59Z,https://github.com/pyOpenSci/python-package-guide/issues/264,https://api.github.com/repos/pyOpenSci/python-package-guide/issues/264
pycascades-24,ucodery,update: hatch tutorial,PullRequest,python-package-guide,pyOpenSci,closed,217,2024-04-07T21:42:42Z,2024-04-09T18:12:45Z,https://github.com/pyOpenSci/python-package-guide/pull/217,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/217
pycascades-24,miguelalizo,Fix: Issue 201 - conda-forge tutorial learning objectives,PullRequest,python-package-guide,pyOpenSci,closed,218,2024-04-07T22:11:11Z,2024-04-08T17:32:23Z,https://github.com/pyOpenSci/python-package-guide/pull/218,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/218
pycascades-24,nyeshlur,Update installable-code.md,PullRequest,python-package-guide,pyOpenSci,closed,220,2024-04-08T18:36:37Z,2024-04-09T18:14:07Z,https://github.com/pyOpenSci/python-package-guide/pull/220,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/220
pycascades-24,Tyler-Bonnell,Update intro.md: Remove Duplicate Link/Sentence,PullRequest,python-package-guide,pyOpenSci,closed,221,2024-04-08T18:54:50Z,2024-04-10T01:26:54Z,https://github.com/pyOpenSci/python-package-guide/pull/221,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/221
pycascades-24,miguelalizo,Add: changelog-file.md to the Docs-for-Contributors-and-Maintainers section.,PullRequest,python-package-guide,pyOpenSci,closed,222,2024-04-08T18:56:27Z,2024-04-15T18:26:51Z,https://github.com/pyOpenSci/python-package-guide/pull/222,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/222
pycascades-24,ptressel,Update publish-pypi.md to remove near-duplicate line.,PullRequest,python-package-guide,pyOpenSci,closed,223,2024-04-08T19:35:38Z,2024-04-09T18:14:58Z,https://github.com/pyOpenSci/python-package-guide/pull/223,https://api.github.com/repos/pyOpenSci/python-package-guide/pulls/223
